timestamp_ns,x,y,z,qw,qx,qy,qz
1413393889555760383,-0.001419698,-0.001037885,0.000915906,-0.001642747,0.811142193,-0.001265389,0.584845316
1413393889655760526,-0.004229589,-0.004088705,0.005421549,0.005456873,0.818449647,-0.004395318,0.574535533
1413393889755760431,-0.005723112,-0.006968752,0.019809559,0.025519440,0.821894679,-0.009623102,0.568986196
1413393889855760574,-0.004139281,-0.008290605,0.049828623,0.047101916,0.819672266,-0.015689334,0.570677343
1413393889955760478,0.002027245,-0.005493688,0.097732838,0.076542616,0.812977839,-0.022275275,0.576811992
1413393890055760383,0.015121984,0.004287228,0.158473860,0.099155002,0.804353366,-0.031584473,0.584966981
1413393890155760526,0.034778612,0.020842321,0.221979559,0.106502107,0.799566207,-0.048476664,0.589068073
1413393890255760431,0.056923733,0.039407408,0.269779679,0.101247515,0.795902178,-0.056102173,0.594256855
1413393890355760574,0.081210651,0.058572608,0.297933172,0.096447245,0.794365966,-0.061974436,0.596523101
1413393890555760383,0.128728338,0.098291654,0.304912996,0.084792261,0.779748914,-0.065053578,0.616903505
1413393890655760526,0.148667649,0.118898580,0.304879000,0.085760400,0.773120622,-0.063159272,0.625252401
1413393890755760431,0.161968964,0.140926499,0.305159450,0.085443829,0.781727771,-0.060345975,0.614784033
1413393890855760574,0.171273199,0.164191955,0.308940705,0.087294787,0.790281759,-0.060373566,0.603481064
1413393891055760383,0.185605534,0.213860810,0.329082927,0.091960534,0.797283782,-0.060381707,0.593494633
1413393891255760431,0.202781691,0.268956052,0.359139421,0.092851259,0.795653056,-0.062800954,0.595290600
1413393891355760574,0.211708357,0.296543318,0.361451503,0.096314541,0.777210579,-0.061014820,0.618825029
1413393891455760478,0.215541728,0.325433568,0.353368236,0.099297112,0.738409663,-0.058449706,0.664435764
1413393891555760383,0.202777628,0.358436418,0.339187144,0.103334968,0.712975428,-0.057903560,0.691111497
1413393891755760431,0.098987605,0.443809402,0.316551934,0.111280358,0.712070224,-0.057202224,0.690869441
1413393891855760574,0.001238738,0.493923910,0.317729823,0.104265672,0.722410551,-0.051278748,0.681631980
1413393891955760478,-0.139081546,0.533206448,0.329385498,0.077706800,0.751357333,-0.036340395,0.654295948
1413393892055760383,-0.283244207,0.576525692,0.339716484,0.068271597,0.782734849,-0.034529239,0.617634906
1413393892155760526,-0.431092812,0.621633262,0.355489729,0.065467694,0.802732395,-0.034180419,0.591748580
1413393892255760431,-0.576510569,0.669227072,0.372343886,0.066738068,0.811722405,-0.033888238,0.579227377
1413393892355760574,-0.717779761,0.714758031,0.381511246,0.066407355,0.816258633,-0.034421224,0.572823784
1413393892455760478,-0.850934766,0.765824024,0.379241394,0.067992633,0.820060955,-0.036878651,0.567024688
1413393892555760383,-0.977868247,0.814130499,0.366274464,0.069426898,0.822382153,-0.038718503,0.563354575
1413393892655760526,-1.106135675,0.848283284,0.347716816,0.066791841,0.829793353,-0.034731251,0.552969784
1413393892755760431,-1.219670492,0.902712982,0.324258068,0.069678654,0.843082307,-0.038903678,0.531830436
1413393892855760574,-1.319006267,0.962352192,0.302695884,0.073769353,0.857057407,-0.043481693,0.508055140
1413393892955760478,-1.399496567,1.022889646,0.289244604,0.075849889,0.868846252,-0.047305637,0.486944721
1413393893055760383,-1.454145493,1.077391680,0.280534230,0.077785366,0.875215876,-0.047998857,0.475018649
1413393893155760526,-1.481117763,1.130025037,0.277477634,0.078249715,0.874538406,-0.048951690,0.476091683
1413393893255760431,-1.482440850,1.180348660,0.278556547,0.080487803,0.867952282,-0.048392931,0.487687066
1413393893355760574,-1.460339635,1.227777716,0.283882054,0.075492377,0.862633553,-0.055385483,0.497088223
1413393893455760478,-1.419380376,1.269953622,0.293978526,0.067409347,0.858393237,-0.063425952,0.504573264
1413393893555760383,-1.364009040,1.305327927,0.306262260,0.057235180,0.856966030,-0.066738026,0.507818269
1413393893655760526,-1.295243657,1.335792411,0.319698014,0.045939003,0.856072219,-0.068749324,0.510199465
1413393893755760431,-1.210282747,1.359527601,0.333647371,0.038210465,0.853559546,-0.072806822,0.514465965
1413393893855760574,-1.111418648,1.373973794,0.351532048,0.037300799,0.846793729,-0.072830271,0.525589938
1413393893955760478,-1.002054474,1.379158118,0.371445465,0.040939964,0.835215279,-0.068513182,0.544100451
1413393894055760383,-0.886919170,1.377682460,0.391614510,0.042470531,0.827505297,-0.065040617,0.556058410
1413393894155760526,-0.768267610,1.369252693,0.412859688,0.040852744,0.824333863,-0.064086909,0.560979147
1413393894255760431,-0.646536881,1.355273598,0.434434135,0.038941595,0.823480000,-0.064866738,0.562277999
1413393894355760574,-0.523689765,1.335510993,0.451990712,0.036024347,0.822828451,-0.065773624,0.563319994
1413393894455760478,-0.399661227,1.307599535,0.452055311,0.039360037,0.822489277,-0.063310674,0.563874042
1413393894555760383,-0.273888009,1.276291235,0.437746395,0.043025415,0.820679406,-0.059223578,0.566680416
1413393894655760526,-0.147177250,1.237351222,0.414866053,0.048424076,0.818886124,-0.055772274,0.569183695
1413393894755760431,-0.019425284,1.197195917,0.392915033,0.050679558,0.817253104,-0.052663553,0.571625311
1413393894855760574,0.106587796,1.151671936,0.373483976,0.051059575,0.816056468,-0.052186861,0.573342213
1413393894955760478,0.232329114,1.108390797,0.359321510,0.052459035,0.811365306,-0.048990145,0.580115812
1413393895055760383,0.355727702,1.065588605,0.349635955,0.052529265,0.804535859,-0.045565854,0.589819024
1413393895155760526,0.474632410,1.021478421,0.342058935,0.054054425,0.804343072,-0.042555683,0.590168921
1413393895255760431,0.588357959,0.976924489,0.337151218,0.053918850,0.807442537,-0.041294934,0.586023921
1413393895355760574,0.699082785,0.931745928,0.330221844,0.054525718,0.805631025,-0.039943445,0.588549165
1413393895455760478,0.805493278,0.883234667,0.315233260,0.056544769,0.803065341,-0.039904542,0.591858408
1413393895555760383,0.907034735,0.833132251,0.293747219,0.060771170,0.801959111,-0.045529942,0.592533099
1413393895655760526,1.004039405,0.784440493,0.274731705,0.067439292,0.801398511,-0.055361978,0.591732558
1413393895755760431,1.095221988,0.736059712,0.260949925,0.080136709,0.796521797,-0.066888496,0.595530909
1413393895855760574,1.182183336,0.688795341,0.250847090,0.094654387,0.791013002,-0.084613094,0.598481079
1413393895955760478,1.261080520,0.648543140,0.243051237,0.111036090,0.786922878,-0.107593192,0.597366785
1413393896055760383,1.330963525,0.613404327,0.236792370,0.132872554,0.783886466,-0.133031011,0.591751335
1413393896155760526,1.397274722,0.584183952,0.232347100,0.155205172,0.776853002,-0.161171395,0.588586909
1413393896255760431,1.464530049,0.570175664,0.230753474,0.175275538,0.765505749,-0.184995371,0.590809738
1413393896355760574,1.529134522,0.569620287,0.230484022,0.190622808,0.753869727,-0.206043047,0.594045151
1413393896455760478,1.581205381,0.572583134,0.236501026,0.197454803,0.739605716,-0.239525104,0.597178961
1413393896555760383,1.621081827,0.580035772,0.246162244,0.196181289,0.730993992,-0.279351353,0.590866742
1413393896655760526,1.651393018,0.585855472,0.257546957,0.195479237,0.726111505,-0.317414164,0.577752714
1413393896755760431,1.670075598,0.585354841,0.273263647,0.197407695,0.717631160,-0.358411352,0.563539726
1413393896855760574,1.675874181,0.576573228,0.289690611,0.199805985,0.707151968,-0.398802511,0.548607528
1413393896955760478,1.667223915,0.556612266,0.305512659,0.205866878,0.700869012,-0.438138252,0.523866710
1413393897055760383,1.648197238,0.524928159,0.317589916,0.223187866,0.709875808,-0.462504964,0.482029742
1413393897155760526,1.631940295,0.476947952,0.323762767,0.255081975,0.723081530,-0.463357363,0.444281713
1413393897255760431,1.620203257,0.415500363,0.328335422,0.299162568,0.727841651,-0.445641772,0.426792338
1413393897355760574,1.618000724,0.347750749,0.332690935,0.341987202,0.721549944,-0.421456902,0.429865691
1413393897455760478,1.631754553,0.277614269,0.335652996,0.352158509,0.708793045,-0.416945354,0.446937776
1413393897555760383,1.662107714,0.210341948,0.338021904,0.346490461,0.698263802,-0.420455590,0.464315754
1413393897655760526,1.702436994,0.146024839,0.339980997,0.336541957,0.695311787,-0.425781246,0.471159592
1413393897755760431,1.747898159,0.083930247,0.344303834,0.330911426,0.696510980,-0.427382918,0.471925761
1413393897855760574,1.799076419,0.024736503,0.352946995,0.332492825,0.698200051,-0.425326004,0.470173373
1413393897955760478,1.856300992,-0.034320582,0.363280733,0.341306133,0.697430413,-0.426615434,0.463788976
1413393898055760383,1.919201972,-0.090677866,0.377881456,0.360547857,0.691688216,-0.430606007,0.454038679
1413393898155760526,1.992203788,-0.143010174,0.399213986,0.387487490,0.671326824,-0.435661879,0.457572362
1413393898255760431,2.074749610,-0.184488217,0.424010229,0.411354688,0.636679134,-0.445249040,0.476634338
1413393898355760574,2.159667617,-0.208591689,0.449290054,0.424291089,0.599564056,-0.454381313,0.504021465
1413393898455760478,2.247645236,-0.213857725,0.474888146,0.429224777,0.561636310,-0.460265291,0.537109494
