1413394888755760384,0.25801,0.20622,0.44423,0.04441,0.82184,-0.03165,0.56711,
1413394888855760640,0.30730,0.22797,0.44471,0.04100,0.81491,-0.03715,0.57694,
1413394888955760384,0.36100,0.24664,0.44786,0.03974,0.81053,-0.04358,0.58272,
1413394889055760384,0.41220,0.26279,0.45375,0.03934,0.80780,-0.04648,0.58631,
1413394889255760384,0.50653,0.28524,0.47532,0.04902,0.79553,-0.04385,0.60234,
1413394889355760640,0.54658,0.29394,0.49613,0.05673,0.76908,-0.03798,0.63550,
1413394889455760384,0.57132,0.30546,0.52050,0.06015,0.73831,-0.03193,0.67101,
1413394889555760384,0.57010,0.32040,0.54103,0.06151,0.73559,-0.02714,0.67408,
1413394889655760640,0.54503,0.33921,0.55641,0.05635,0.77050,-0.02822,0.63432,
1413394889755760384,0.50424,0.36049,0.57354,0.04952,0.81330,-0.02857,0.57903,
1413394889855760640,0.46177,0.38097,0.59388,0.04121,0.84673,-0.03018,0.52957,
1413394889955760384,0.43099,0.39944,0.61258,0.03401,0.86997,-0.03306,0.49083,
1413394890055760384,0.41854,0.41333,0.62326,0.03092,0.88622,-0.03420,0.46097,
1413394890155760640,0.43122,0.42314,0.62628,0.02438,0.88878,-0.04034,0.45590,
1413394890255760384,0.47295,0.43047,0.62779,0.02347,0.86744,-0.05102,0.49437,
1413394890355760640,0.53963,0.43081,0.62225,0.03635,0.83284,-0.08169,0.54624,
1413394890455760384,0.61758,0.41235,0.61104,0.08029,0.78797,-0.13555,0.59522,
1413394890555760384,0.67611,0.38114,0.59512,0.10309,0.75068,-0.14186,0.63696,
1413394890655760640,0.71404,0.34780,0.57912,0.12443,0.72828,-0.13416,0.66040,
1413394890755760384,0.72471,0.31788,0.56531,0.13830,0.72157,-0.12568,0.66664,
1413394890855760640,0.70669,0.29674,0.54742,0.14131,0.74815,-0.12518,0.63611,
1413394890955760384,0.67324,0.28390,0.53029,0.13535,0.78946,-0.13142,0.58409,
1413394891055760384,0.63468,0.27450,0.51480,0.12851,0.82720,-0.13806,0.52930,
1413394891155760640,0.60540,0.25843,0.50470,0.12308,0.85137,-0.14327,0.48939,
1413394891255760384,0.59585,0.23744,0.49606,0.12101,0.86476,-0.14559,0.46514,
1413394891455760384,0.65334,0.17358,0.49788,0.13289,0.85364,-0.14055,0.48362,
1413394891555760384,0.71579,0.13385,0.50353,0.13833,0.83435,-0.13160,0.51712,
1413394891655760640,0.79035,0.09343,0.50892,0.14292,0.81954,-0.12091,0.54158,
1413394891755760384,0.86060,0.03671,0.51916,0.15136,0.81199,-0.12285,0.55015,
1413394891855760640,0.94602,0.01261,0.52818,0.15520,0.80300,-0.11979,0.56281,
1413394891955760384,1.02812,-0.01710,0.55675,0.16118,0.78656,-0.11347,0.58520,
1413394892055760384,1.10731,-0.03719,0.59084,0.16439,0.77254,-0.10639,0.60402,
1413394892155760640,1.17964,-0.04296,0.62416,0.15872,0.76610,-0.09413,0.61566,
1413394892255760384,1.24236,-0.03515,0.65617,0.14376,0.76777,-0.07523,0.61984,
1413394892355760640,1.29429,-0.01561,0.67843,0.12150,0.77177,-0.05297,0.62194,
1413394892455760384,1.33344,0.01519,0.68208,0.09194,0.77499,-0.02684,0.62467,
1413394892555760384,1.36023,0.05363,0.67630,0.05796,0.77988,0.00488,0.62322,
1413394892655760640,1.37368,0.09367,0.67222,0.02515,0.78943,0.03654,0.61224,
1413394892755760384,1.37561,0.13883,0.67393,-0.00730,0.79852,0.07047,0.59779,
1413394892855760640,1.37087,0.18738,0.68148,-0.04107,0.80204,0.10718,0.58613,
1413394892955760384,1.35929,0.23681,0.69110,-0.07006,0.80671,0.14381,0.56889,
1413394893055760384,1.34454,0.28798,0.70277,-0.09397,0.80729,0.18197,0.55348,
1413394893155760640,1.30428,0.33827,0.71641,-0.12715,0.79591,0.23726,0.54228,
1413394893255760384,1.28704,0.39308,0.73192,-0.14638,0.78761,0.26873,0.53481,
1413394893355760640,1.27295,0.45196,0.74929,-0.16409,0.77520,0.28865,0.53742,
1413394893455760384,1.25789,0.51238,0.76822,-0.16904,0.75904,0.30823,0.54798,
